Customer_ID,First_Name,Last_Name,Age,Gender,State,Income,Employment_Status,Customer_Since
100000,Cory,Lin,50,Female,New Jersey,120083,Unemployed,2020-01-07
100001,Mary,Henson,23,Male,California,36531,Part-Time,2023-02-04
100002,Christina,Thompson,52,Female,Florida,79121,Self-Employed,2023-11-04
100003,Jonathan,Lawrence,58,Male,New York,196980,Retired,2022-02-27
100004,Laura,Donaldson,72,Male,Georgia,159795,Self-Employed,2022-02-02
100005,Sarah,Ferguson,20,Female,Illinois,102622,Unemployed,2021-12-24
100006,Andrew,Davis,41,Female,Virginia,41830,Full-Time,2019-04-09
100007,Michelle,Marshall,34,Male,New York,75414,Unemployed,2021-05-27
100008,Sarah,Barry,38,Male,North Carolina,77246,Self-Employed,2026-03-03
100009,Tracey,Alvarez,52,Female,Florida,66659,Unemployed,2019-10-12
100010,Angela,Reynolds,53,Male,Georgia,154372,Unemployed,2026-04-13
100011,Hannah,Evans,21,Male,Illinois,181313,Retired,2020-09-08
100012,Heather,Wong,66,Male,Florida,91329,Unemployed,2026-05-01
100013,Patrick,Boyd,46,Female,Florida,52554,Unemployed,2018-08-22
100014,Sherry,Fox,55,Male,North Carolina,125600,Part-Time,2018-08-18
100015,Corey,Shelton,66,Male,Georgia,126186,Unemployed,2018-09-22
100016,Lindsey,White,53,Male,North Carolina,150427,Self-Employed,2016-09-27
100017,Joshua,Rojas,39,Female,New Jersey,95848,Part-Time,2025-04-27
100018,Javier,Long,38,Male,California,126980,Part-Time,2019-01-11
100019,Heidi,Gordon,48,Female,Virginia,57145,Part-Time,2018-10-24
100020,Crystal,Wood,65,Male,Texas,101574,Full-Time,2018-10-13
100021,Julie,Maldonado,23,Female,North Carolina,187061,Self-Employed,2022-11-18
100022,David,Soto,29,Male,Georgia,79616,Self-Employed,2025-09-03
100023,Brittany,Harris,55,Male,Pennsylvania,120516,Unemployed,2020-12-27
100024,Bradley,Smith,69,Male,North Carolina,46683,Retired,2021-01-27
100025,Veronica,Jones,60,Female,Georgia,52249,Self-Employed,2026-01-20
100026,William,Castaneda,36,Female,New Jersey,158811,Part-Time,2024-06-03
100027,Sarah,Oliver,32,Female,Illinois,31958,Retired,2025-06-15
100028,Christy,Hicks,48,Female,Georgia,113971,Unemployed,2020-10-14
100029,Rebecca,Allen,23,Female,North Carolina,134742,Self-Employed,2022-11-07
100030,Susan,Fisher,67,Male,Pennsylvania,76551,Unemployed,2019-02-23
100031,Jonathan,Kaiser,42,Male,Texas,104485,Self-Employed,2026-04-13
100032,Deborah,Acosta,32,Female,Virginia,109613,Full-Time,2021-09-12
100033,Christopher,Whitehead,19,Male,North Carolina,197445,Part-Time,2024-01-13
100034,Bobby,York,42,Female,California,126835,Self-Employed,2021-09-09
100035,Brian,Meyers,18,Male,Illinois,49994,Self-Employed,2022-01-12
100036,Destiny,Ramirez,74,Female,California,160038,Part-Time,2019-02-07
100037,Jeremiah,Brewer,55,Male,Florida,161146,Part-Time,2018-09-23
100038,Zachary,Harvey,71,Female,Georgia,122762,Part-Time,2025-05-09
100039,Aaron,Powell,52,Male,Pennsylvania,179480,Full-Time,2024-11-20
100040,Laura,Franklin,31,Male,Virginia,144179,Full-Time,2018-02-09
100041,Jessica,Schneider,44,Female,North Carolina,51288,Full-Time,2025-12-20
100042,Craig,Mckinney,46,Female,Florida,88909,Part-Time,2020-01-04
100043,Morgan,Harvey,29,Male,North Carolina,174883,Unemployed,2022-07-06
100044,Brian,Joyce,47,Male,Virginia,62269,Self-Employed,2024-03-14
100045,Jeffrey,Walters,45,Male,New Jersey,196162,Retired,2019-08-01
100046,Jamie,Vasquez,44,Female,Pennsylvania,94286,Unemployed,2023-04-24
100047,Angela,Dorsey,71,Male,North Carolina,136181,Unemployed,2024-10-08
100048,Chad,Stevens,65,Male,New York,93745,Retired,2019-07-21
100049,Charles,Hernandez,27,Male,North Carolina,50308,Retired,2022-12-21
100050,Diana,Barron,29,Female,New Jersey,37125,Self-Employed,2022-07-26
100051,Edward,Yates,43,Male,Illinois,96587,Self-Employed,2024-11-16
100052,Brian,Hill,20,Male,New Jersey,189333,Retired,2020-07-06
100053,Nicholas,Finley,63,Female,New York,126327,Retired,2022-07-29
100054,Jill,Jones,20,Female,New Jersey,58636,Self-Employed,2021-09-24
100055,Mark,Krueger,20,Male,California,85051,Full-Time,2016-09-16
100056,Nicole,Phillips,70,Female,Illinois,149501,Unemployed,2023-03-31
100057,John,Gray,25,Male,Florida,187147,Unemployed,2022-07-17
100058,Shawn,Howard,74,Male,Illinois,145230,Part-Time,2020-08-17
100059,David,Mcconnell,33,Male,Florida,180232,Unemployed,2019-05-25
100060,Brenda,Luna,75,Female,Virginia,95769,Retired,2025-11-23
100061,Sarah,Pugh,54,Female,Georgia,152690,Part-Time,2016-12-30
100062,Robert,Maxwell,54,Female,North Carolina,80396,Self-Employed,2025-01-16
100063,Daniel,Sellers,59,Male,Georgia,146905,Full-Time,2021-01-18
100064,Noah,Miller,38,Female,North Carolina,128166,Unemployed,2022-08-06
100065,Benjamin,Pittman,45,Male,New Jersey,130344,Unemployed,2025-05-01
100066,Kayla,Cruz,70,Male,New Jersey,79529,Full-Time,2018-04-22
100067,Amanda,Collins,53,Male,North Carolina,133101,Retired,2020-03-05
100068,Lisa,Dean,74,Female,California,85208,Full-Time,2025-02-10
100069,Denise,Jenkins,71,Male,Texas,177764,Full-Time,2020-09-07
100070,Devon,Dennis,64,Female,New York,95940,Unemployed,2023-03-12
100071,Elizabeth,Malone,61,Female,Texas,89034,Self-Employed,2025-01-02
100072,Mitchell,Henry,34,Male,Pennsylvania,92213,Part-Time,2026-01-10
100073,Cody,Hopkins,71,Female,New Jersey,80821,Full-Time,2019-12-08
100074,Victor,Murphy,73,Male,Georgia,159877,Part-Time,2017-04-20
100075,Jennifer,Keller,50,Male,Virginia,44463,Part-Time,2020-12-10
100076,Matthew,Tucker,72,Male,New Jersey,30671,Self-Employed,2025-12-07
100077,Joshua,Ramirez,21,Male,Texas,111185,Part-Time,2024-02-20
100078,Leah,Ware,57,Male,Illinois,176112,Part-Time,2022-07-29
100079,Ryan,Allen,70,Female,Illinois,170420,Self-Employed,2018-03-29
100080,Gabrielle,Rodriguez,75,Male,Illinois,178958,Retired,2018-04-23
100081,Anna,Hurley,20,Female,Illinois,58994,Full-Time,2019-11-24
100082,Michael,Norris,26,Male,Florida,94567,Full-Time,2023-01-24
100083,Kathryn,Garza,35,Male,Illinois,116621,Unemployed,2016-10-18
100084,Alexander,Brown,71,Female,New York,185352,Full-Time,2019-06-19
100085,Denise,Owens,73,Male,North Carolina,94268,Self-Employed,2017-12-12
100086,James,Moyer,34,Female,North Carolina,83003,Self-Employed,2020-05-15
100087,Lori,Sexton,24,Male,New York,99721,Part-Time,2023-03-01
100088,Justin,Lopez,62,Female,Texas,170205,Unemployed,2020-08-20
100089,Donald,Baker,61,Male,New Jersey,195048,Unemployed,2019-09-13
100090,Lauren,Woodard,43,Female,Pennsylvania,55855,Self-Employed,2019-08-22
100091,Thomas,Carey,26,Male,Georgia,57222,Retired,2022-08-21
100092,Evelyn,Whitney,21,Male,Texas,108689,Part-Time,2019-09-14
100093,Robert,Little,50,Female,New York,126095,Full-Time,2019-01-21
100094,Kyle,Rocha,69,Male,North Carolina,52362,Full-Time,2024-08-05
100095,Timothy,Parker,48,Female,California,90519,Unemployed,2020-12-27
100096,John,Maddox,45,Male,New York,157187,Self-Employed,2020-03-01
100097,Paul,Nguyen,40,Male,New Jersey,116377,Retired,2019-04-21
100098,Brandy,Smith,26,Male,New York,132878,Self-Employed,2020-02-20
100099,Brittany,Hernandez,53,Male,Illinois,184495,Retired,2024-04-25
100100,Megan,Roth,38,Male,New Jersey,125860,Self-Employed,2025-05-23
100101,Jeffrey,Krause,49,Male,Florida,62394,Self-Employed,2021-05-09
100102,George,Koch,52,Male,Pennsylvania,77469,Unemployed,2020-07-06
100103,Samantha,Anderson,44,Female,Illinois,57079,Retired,2024-09-26
100104,Michelle,Thompson,63,Male,Florida,51401,Part-Time,2017-05-06
100105,Shawn,Bell,21,Female,Illinois,82805,Part-Time,2020-12-06
100106,Maria,Green,57,Female,Florida,66626,Self-Employed,2020-04-22
100107,Alyssa,Smith,27,Male,Illinois,163525,Unemployed,2024-01-02
100108,Douglas,Lee,66,Male,North Carolina,124420,Retired,2025-07-17
100109,Stuart,Cannon,37,Female,Texas,52043,Part-Time,2025-12-02
100110,Elizabeth,Sanchez,34,Female,Virginia,151192,Part-Time,2021-04-30
100111,William,Leonard,37,Female,Pennsylvania,125610,Self-Employed,2019-12-27
100112,Samantha,Powers,46,Male,Texas,176330,Full-Time,2019-11-16
100113,Gregory,Cox,73,Female,Georgia,70843,Self-Employed,2021-11-19
100114,Heather,Reed,62,Female,Texas,42556,Unemployed,2023-09-15
100115,Ashley,Jimenez,34,Male,Texas,187792,Unemployed,2023-08-28
100116,Natalie,Edwards,65,Male,North Carolina,82727,Unemployed,2024-11-24
100117,Molly,Brown,41,Male,Virginia,66262,Unemployed,2025-02-09
100118,Joshua,Collins,31,Male,Virginia,50927,Retired,2018-02-15
100119,Antonio,Andrews,58,Male,California,126068,Full-Time,2024-03-16
100120,Jennifer,Shields,49,Female,New York,183468,Self-Employed,2018-12-23
100121,Susan,Hunt,35,Male,California,139263,Part-Time,2020-10-31
100122,Catherine,Allen,58,Female,Pennsylvania,86334,Unemployed,2016-07-27
100123,Desiree,Cooper,65,Male,Texas,83114,Self-Employed,2023-07-02
100124,Donald,Christensen,34,Female,Georgia,76415,Full-Time,2018-09-14
100125,Karen,Lawrence,64,Female,Illinois,39932,Full-Time,2021-07-24
100126,Steven,Johnson,34,Female,Georgia,179577,Unemployed,2024-12-15
100127,Megan,Wheeler,72,Female,Florida,156386,Unemployed,2022-06-12
100128,Cynthia,Baker,37,Female,Illinois,59538,Self-Employed,2025-10-25
100129,Tiffany,Walls,57,Male,California,158311,Full-Time,2020-05-31
100130,Randall,Moore,26,Female,Florida,50569,Unemployed,2024-04-25
100131,Melissa,Clark,47,Male,New Jersey,50069,Self-Employed,2017-08-17
100132,Lee,Murphy,20,Female,North Carolina,65307,Part-Time,2019-04-27
100133,Jason,Collins,46,Male,New Jersey,127695,Retired,2024-08-06
100134,Charlotte,Smith,28,Female,New York,189489,Full-Time,2023-04-22
100135,Mitchell,Roberts,43,Female,Georgia,114360,Retired,2017-05-18
100136,Richard,Fisher,65,Female,Virginia,104627,Part-Time,2022-05-14
100137,Thomas,Powers,53,Female,Texas,72492,Unemployed,2016-12-02
100138,Patricia,Mitchell,27,Female,Georgia,98364,Part-Time,2023-07-09
100139,Julian,Thompson,56,Male,Illinois,61759,Full-Time,2016-12-04
100140,Michael,Perez,59,Female,New York,181312,Unemployed,2024-09-28
100141,Mariah,Edwards,34,Male,Texas,74383,Part-Time,2024-06-21
100142,Loretta,Hebert,30,Female,North Carolina,101985,Self-Employed,2022-10-27
100143,John,Stark,30,Female,New York,190003,Unemployed,2017-12-02
100144,Michael,Moody,75,Female,Florida,64176,Part-Time,2019-11-10
100145,Alejandro,Patton,75,Male,Virginia,96989,Unemployed,2018-12-05
100146,Shelly,Collins,25,Female,Virginia,188321,Retired,2018-07-22
100147,Michael,Mcguire,60,Male,Virginia,56780,Retired,2025-11-29
100148,Brittany,Garcia,19,Female,North Carolina,108055,Part-Time,2021-06-03
100149,Anna,Carey,49,Female,Florida,143251,Full-Time,2018-01-11
100150,Lori,Clark,33,Female,New York,184181,Unemployed,2022-12-14
100151,Brian,Blair,37,Female,New Jersey,152369,Self-Employed,2025-06-01
100152,Kathy,Hurley,70,Female,Texas,42637,Part-Time,2019-10-02
100153,Lindsay,Quinn,67,Female,Virginia,38888,Unemployed,2020-07-30
100154,Christopher,Armstrong,39,Female,Florida,188553,Retired,2024-03-29
100155,Stephen,Miller,45,Female,Illinois,178446,Part-Time,2025-01-12
100156,Sean,Bennett,51,Male,Texas,146607,Unemployed,2024-06-11
100157,Steven,Small,65,Female,Florida,108709,Full-Time,2017-08-03
100158,Amanda,Walton,31,Female,Pennsylvania,166739,Self-Employed,2019-11-14
100159,Jessica,Lee,75,Female,Virginia,83780,Full-Time,2026-04-21
100160,Debbie,Hunt,48,Female,Illinois,132117,Part-Time,2023-02-04
100161,Troy,Green,32,Female,Virginia,112155,Part-Time,2017-12-31
100162,Shannon,Petersen,75,Male,Florida,49353,Unemployed,2024-05-08
100163,David,Sims,43,Male,Florida,30121,Self-Employed,2025-02-13
100164,Zachary,Carroll,44,Male,California,134986,Part-Time,2019-01-11
100165,Charles,Dominguez,56,Male,Pennsylvania,85751,Full-Time,2020-09-10
100166,Dawn,Pacheco,27,Female,Florida,103830,Part-Time,2017-02-19
100167,Andrew,Burns,50,Female,California,144979,Retired,2026-03-10
100168,Eric,Myers,46,Female,Pennsylvania,188156,Self-Employed,2025-12-09
100169,Aaron,Lopez,28,Female,New Jersey,157875,Unemployed,2023-02-07
100170,Jennifer,Anderson,36,Male,Virginia,171507,Retired,2017-09-21
100171,Stephen,Scott,46,Male,Pennsylvania,60631,Self-Employed,2018-03-29
100172,Jose,Frost,36,Male,New Jersey,120757,Full-Time,2022-03-15
100173,Jeremy,Brooks,60,Male,California,160287,Unemployed,2022-03-25
100174,Kimberly,Richard,55,Female,Virginia,70816,Full-Time,2022-02-12
100175,Gregory,Keith,40,Female,Illinois,92361,Full-Time,2018-08-26
100176,Christopher,Fox,28,Female,New Jersey,172016,Retired,2025-04-16
100177,Carlos,Gross,26,Male,Florida,99524,Full-Time,2018-01-23
100178,Samuel,Lee,71,Male,California,170865,Retired,2021-07-12
100179,Samantha,Hill,20,Female,California,51330,Retired,2023-02-04
100180,Stanley,Johnson,38,Female,Georgia,171572,Unemployed,2024-09-05
100181,Karen,Sullivan,54,Female,Virginia,61928,Self-Employed,2019-02-20
100182,Joanne,Gardner,45,Male,Illinois,198017,Self-Employed,2024-07-21
100183,Amber,Vasquez,58,Female,Texas,147055,Unemployed,2025-09-06
100184,Debbie,Henderson,43,Male,Pennsylvania,111926,Self-Employed,2024-07-21
100185,Megan,Campbell,53,Female,New Jersey,182582,Retired,2018-06-15
100186,Diane,Yang,29,Female,New York,176249,Part-Time,2025-08-15
100187,Wendy,Hernandez,43,Female,California,128914,Unemployed,2020-11-09
100188,Jocelyn,Boyle,58,Male,Virginia,86093,Part-Time,2024-04-01
100189,Ryan,French,36,Male,Pennsylvania,115825,Unemployed,2020-11-26
100190,Rachel,Benton,49,Female,Florida,120031,Retired,2021-09-22
100191,John,Moore,33,Male,New York,53228,Full-Time,2024-01-06
100192,Susan,Salas,64,Female,Georgia,59795,Self-Employed,2016-08-07
100193,Jason,Mclaughlin,33,Male,Florida,99127,Unemployed,2019-11-25
100194,Kelly,Contreras,30,Male,New York,60108,Part-Time,2022-01-09
100195,David,Rodriguez,20,Female,North Carolina,135678,Self-Employed,2018-04-02
100196,Joshua,Hicks,39,Female,Texas,30399,Unemployed,2025-10-13
100197,Carol,King,49,Female,Illinois,168927,Part-Time,2018-08-01
100198,Adam,Fuller,61,Male,Pennsylvania,106893,Unemployed,2020-08-08
100199,David,Maxwell,41,Female,Texas,143842,Full-Time,2018-03-25
100200,Carrie,Hayes,57,Female,Virginia,129664,Unemployed,2025-12-01
100201,Isaac,Lee,74,Female,Illinois,83222,Retired,2021-06-20
100202,Victoria,Young,29,Female,Virginia,79897,Retired,2022-04-19
100203,Joshua,Scott,40,Female,Illinois,112307,Retired,2018-02-28
100204,Gina,Lewis,23,Male,Illinois,107549,Self-Employed,2022-05-06
100205,Charles,Johnson,75,Female,New York,158947,Unemployed,2026-06-11
100206,Steven,Conrad,46,Male,Texas,103612,Self-Employed,2025-04-14
100207,Robert,Campbell,25,Female,Virginia,84607,Self-Employed,2026-02-18
100208,Michael,Rose,73,Female,Pennsylvania,113162,Part-Time,2017-04-28
100209,Hannah,Powell,32,Male,Illinois,34916,Self-Employed,2024-12-21
100210,Heather,Trevino,57,Female,Texas,121675,Part-Time,2024-03-15
100211,Wesley,Yang,64,Male,Georgia,145921,Retired,2026-02-07
100212,Traci,Thomas,46,Female,New York,145139,Unemployed,2022-01-20
100213,Gary,Bradford,67,Female,Illinois,143180,Unemployed,2018-09-07
100214,Emily,Robbins,39,Female,Pennsylvania,176216,Unemployed,2017-04-28
100215,Joseph,Gallagher,40,Female,North Carolina,135093,Self-Employed,2022-02-10
100216,Shawn,Estrada,34,Female,California,40989,Full-Time,2024-04-06
100217,Harold,Clark,29,Female,Illinois,104165,Part-Time,2021-08-20
100218,Daniel,Ferguson,23,Female,New Jersey,136192,Unemployed,2022-05-20
100219,Renee,Thomas,61,Female,New Jersey,91167,Retired,2018-09-17
100220,Billy,Wagner,32,Female,New Jersey,156924,Retired,2021-06-20
100221,Shane,Parker,18,Male,Illinois,161864,Self-Employed,2026-06-09
100222,Don,Rodriguez,48,Male,Georgia,50412,Full-Time,2016-12-18
100223,Sarah,Chapman,71,Female,New Jersey,40932,Unemployed,2018-04-28
100224,Randall,Vega,58,Male,California,165191,Retired,2023-09-06
100225,Mark,Foster,25,Male,North Carolina,32697,Unemployed,2022-06-17
100226,Justin,Grant,42,Male,Florida,58283,Self-Employed,2023-03-13
100227,Michael,Ruiz,71,Female,Pennsylvania,140719,Unemployed,2023-10-08
100228,Sara,Hurley,24,Male,Illinois,113820,Self-Employed,2024-02-06
100229,Joanna,Esparza,46,Female,Pennsylvania,113075,Full-Time,2020-12-16
100230,Kevin,Allen,19,Female,North Carolina,62071,Unemployed,2022-08-31
100231,Whitney,Parker,36,Male,Georgia,83312,Part-Time,2020-06-01
100232,Lori,Cruz,56,Male,Illinois,46185,Self-Employed,2018-12-21
100233,Joseph,Gonzalez,69,Female,North Carolina,39773,Self-Employed,2016-07-28
100234,Wayne,Baker,36,Female,North Carolina,176572,Self-Employed,2017-07-20
100235,Jacqueline,Garcia,37,Male,New York,159774,Full-Time,2025-03-22
100236,Melanie,Campbell,58,Male,North Carolina,31798,Retired,2021-04-23
100237,Jerry,Stewart,67,Female,New Jersey,136566,Full-Time,2019-12-07
100238,Gregory,Farrell,52,Male,New Jersey,102686,Full-Time,2022-04-01
100239,Dawn,Logan,34,Male,Florida,172633,Retired,2024-07-23
100240,Brandon,Thompson,29,Male,New Jersey,164784,Unemployed,2026-05-02
100241,Jonathan,Weaver,54,Male,New York,135120,Part-Time,2024-02-24
100242,Rita,Scott,35,Female,Virginia,166321,Part-Time,2025-05-18
100243,Christopher,Wolfe,55,Male,New Jersey,53338,Full-Time,2025-04-14
100244,Melinda,Garcia,52,Female,New Jersey,185953,Unemployed,2025-12-27
100245,Laurie,Charles,73,Male,New Jersey,135074,Retired,2017-06-27
100246,Valerie,Henry,55,Male,Georgia,89580,Self-Employed,2017-04-23
100247,Eric,Taylor,54,Female,Texas,38718,Part-Time,2020-08-14
100248,Justin,Brown,35,Male,Illinois,198847,Part-Time,2019-10-16
100249,Logan,Curtis,37,Male,Virginia,149232,Full-Time,2019-03-28
100250,Bruce,Curry,55,Female,North Carolina,180102,Unemployed,2026-01-05
100251,Lindsey,Stephens,38,Female,North Carolina,40846,Unemployed,2025-12-19
100252,Frank,Murphy,37,Female,California,142234,Full-Time,2023-10-22
100253,Heather,Jordan,48,Female,Pennsylvania,70850,Full-Time,2023-10-06
